Throttle,Thrust,Velocity,Voltage,Current
0,0,,,
5,16,,,
10,38,,,
15,65,,,
20,90,,,
25,113,,,
30,137,,,
35,161,,,
40,177,,,
45,197,,,
50,213,,,
55,230,,,
60,250,,,
65,267,,,
70,291,,,
75,320,,,
80,345,,,
85,369,,,
90,385,,,
95,390,,,
100,390,,,
0,0,0,,
5,16,324,,
10,36,503,,
15,58,628,,
20,80,745,,
25,104,855,,
30,123,945,,
35,146,1030,,
40,167,1110,,
45,190,1165,,
50,211,1218,,
55,230,1270,,
60,248,1318,,
65,271,1333,,
70,299,1355,,
50,209,1237,,
55,228,1282,,
60,251,1322,,
65,270,1340,,
70,296,1352,,
50,208,1243,,
55,228,1293,,
60,252,1332,,
65,270,1335,,
70,297,1356,,
0,0,0,,
5,16,316,,
10,36,503,,
15,56,625,,
20,78,745,,
25,101,842,,
30,123,944,,
35,148,1034,,
40,166,1098,,
45,189,1158,,
50,206,1230,,
55,226,1287,,
60,251,1319,,
65,272,1324,,
0,0,0,,
5,13,347,,
10,33,515,,
15,53,639,,
20,73,750,,
25,93,847,,
30,114,933,,
35,135,1028,,
40,153,1092,,
45,170,1139,,
50,186,1198,,
55,202,1262,,
60,220,1306,,
65,235,1317,,
70,250,1353,,
75,272,1361,,
80,302,1368,,
85,325,1364,,
90,345,1425,,
95,365,1410,,
100,382,1360,,
0,0,0,,
5,6,210,,
10,16,346,,
15,27,452,,
20,44,587,,
25,64,722,,
30,83,808,,
35,102,916,,
40,115,972,,
45,138,1063,,
50,160,1141,
55,180,1190,,
60,200,1253,,
65,220,1312,,
70,245,1320,,
75,265,1332,,
80,285,1367,,
85,322,1428,,
90,335,1560,,
95,361,1654,,
100,399,1747,,
