throttle,load,velocity,current,voltage
0.000,-0.0047,0,0.22,12.10
0.020,-0.0047,0,0.22,12.10
0.040,-0.0047,0,0.23,12.10
0.060,-0.0006,13,0.70,12.07
0.080,0.0175,113,0.57,12.08
0.100,0.0252,151,0.62,12.07
0.120,0.0336,163,0.73,12.06
0.140,0.0440,182,0.91,12.05
0.160,0.0543,207,0.99,12.05
0.180,0.0635,214,1.14,12.04
0.200,0.0741,239,1.30,12.02
0.220,0.0854,251,1.45,12.01
0.240,0.0984,270,1.66,12.00
0.260,0.1092,283,1.82,11.98
0.280,0.1215,295,2.07,11.97
0.300,0.1343,308,2.24,11.95
0.320,0.1475,327,2.46,11.93
0.340,0.1602,339,2.77,11.91
0.360,0.1736,352,3.10,11.88
0.380,0.1877,364,3.38,11.86
0.400,0.2039,383,3.76,11.84
0.420,0.2217,402,4.08,11.81
0.440,0.2354,408,4.41,11.78
0.460,0.2472,427,4.81,11.75
0.480,0.2623,434,5.30,11.72
0.500,0.2791,452,5.74,11.67
0.520,0.2911,452,6.39,11.63
0.540,0.3001,465,6.96,11.59
0.560,0.3158,478,7.50,11.54
0.580,0.3305,484,8.09,11.50
0.600,0.3415,496,8.38,11.46
0.620,0.3585,503,9.14,11.40
0.640,0.3755,515,9.96,11.35
0.660,0.3876,522,10.52,11.30
0.680,0.4002,534,11.13,11.24
0.700,0.4103,534,11.72,11.19
0.720,0.4261,547,12.52,11.12
0.740,0.4390,553,13.66,11.05
0.760,0.4484,553,14.43,10.97
0.780,0.4578,565,14.86,10.90
0.800,0.4731,572,15.69,10.84
0.820,0.4839,584,16.34,10.76
0.840,0.4931,591,16.78,10.70
0.860,0.5136,597,17.59,10.61
0.880,0.5251,603,18.12,10.56
0.900,0.5426,616,18.89,10.45
0.920,0.5587,622,19.65,10.36
0.940,0.5617,628,19.89,10.28
0.960,0.5709,635,19.98,10.20
0.980,0.5755,635,20.00,10.12
1.000,0.5780,635,20.00,9.99
